"Label","Area","Mean","StdDev","Min","Max","Median"
"tau138MGFP_Gal.lif - Series002 green_measure.tif",1381.09,1138.092,1185.626,0,7284,701
"tau138MGFP_Gal.lif - Series002 red_measure.tif",1381.09,831.761,914.787,0,6851,588
"tau138MGFP_Gal.lif - Series004 green_measure.tif",2146.417,1080.249,1111.105,0,6628,673
"tau138MGFP_Gal.lif - Series004 red_measure.tif",2146.417,807.04,878.097,0,6975,582
"tau138MGFP_Gal.lif - Series006 green_measure.tif",2062.664,1083.349,1105.542,0,6026,691
"tau138MGFP_Gal.lif - Series006 red_measure.tif",2062.664,901.543,991.403,0,9650,655
"tau138MGFP_Gal.lif - Series008 green_measure.tif",1498.097,1161.842,1187.021,0,6521,709
"tau138MGFP_Gal.lif - Series008 red_measure.tif",1498.097,894.854,1018.981,0,8442,618
"tau138MGFP_Gal.lif - Series010 green_measure.tif",1704.229,1160.954,1185.296,0,6576,720
"tau138MGFP_Gal.lif - Series010 red_measure.tif",1704.229,890.993,986.449,0,7601,637
"tau138MGFP_Gal.lif - Series012 green_measure.tif",1652.871,1076.1,1094.724,0,6437,678
"tau138MGFP_Gal.lif - Series012 red_measure.tif",1652.871,868.099,986.537,0,7167,602
"tau138MGFP_Glu.lif - Series002 green_measure.tif",1218.849,634.412,640.704,0,5205,443
"tau138MGFP_Glu.lif - Series002 red_measure.tif",1218.849,517.081,587.535,0,5934,365
"tau138MGFP_Glu.lif - Series004 green_measure.tif",2308.711,672.948,680.472,0,5862,473
"tau138MGFP_Glu.lif - Series004 red_measure.tif",2308.711,547.373,610.98,0,5651,392
"tau138MGFP_Glu.lif - Series006 green_measure.tif",2750.791,705.843,725.617,0,5868,485
"tau138MGFP_Glu.lif - Series006 red_measure.tif",2750.791,555.981,608.638,0,6981,402
"tau138MGFP_Glu.lif - Series008 green_measure.tif",2197.882,680.324,697.401,0,5534,473
"tau138MGFP_Glu.lif - Series008 red_measure.tif",2197.882,570.356,626.613,0,5423,414
"tau138MGFP_Glu.lif - Series010 green_measure.tif",2255.902,738.053,749.585,0,5501,510
"tau138MGFP_Glu.lif - Series010 red_measure.tif",2255.902,566.679,604.958,0,5012,415
"tau138MGFP_Glu.lif - Series012 green_measure.tif",2683.639,768.907,778.459,0,6401,543
"tau138MGFP_Glu.lif - Series012 red_measure.tif",2683.639,584.217,636.232,0,5988,430
